gene.name,BA1,BA2,PBA
Gpr176,-8.109808966,-7.392974603,-6.527112662
Rdh7,0,0,0
Abcc8,0,1.863614867,2.456516227
Ndp,0,2.770543623,0
9430038I01Rik,0,0.463421324,0
Tdrd6,0,0,0
Rgl3,0,1.639753578,1.614504306
Maob,3.893538079,2.998683789,0.866738889
Hmx3,-10.71059965,-2.788994532,-3.311788447
Hs2st1,-0.222722974,-0.597259853,-0.208858678
Thbs1,-3.961187111,-3.692396372,-4.245546856
Wfdc5,0,0,0
Tax1bp3,0,0,0
1700034J05Rik,0,0,0
Kcns1,-3.000577532,-2.576449041,-2.215028601
Cd209c,0,0,0
Ikzf5,0,-0.274839399,0
Fmo2,0,0,0
Alkbh3,0,0,0.516103267
2310057M21Rik,-0.406253856,-0.665475199,0
Fmo1,4.094042317,3.736747981,0
Ankrd6,1.336200588,0.703280233,1.886972172
Arntl2,0,1.244049227,1.2405263
Scamp2,-0.506357353,-0.285757512,0
Ccdc114,3.630916581,3.190843938,3.391212765
Tmem194,0.459743353,0.562694607,0
Cd209e,0,0,0
2810417H13Rik,1.343152319,1.386178152,0
Cuzd1,0,-7.828298745,0
Zfp704,0.807445549,0.680686074,0.577558793
Emp3,-2.905398524,-2.544997674,-1.260974202
Ccbl2,1.915094846,1.720083817,1.185781017
Gm6369,0,0,0
Ttc12,0,0,0
Gas8,-0.554859049,-0.637672152,-1.045865173
Prrc2c,-0.238563802,0,-1.029123411
Gpr34,0,0,0
Syngr4,0,0,0
Tm7sf3,0,0,0.456027706
Trappc5,-0.391390536,-0.435154215,-0.391185171
Fgfr1op2,0.431911054,0.343653199,0
Tbc1d10c,0,0,0
Lrp1,-0.690709629,-0.388336469,-0.761574203
4933424B01Rik,-0.406639141,-0.410059647,-0.39780981
Gbp7,0,0,0
Sema3d,0,-1.02548571,-1.851133895
Nxph4,0,0,0
Daam2,0,0.723812362,0
Klhdc4,-0.536657029,-0.315602013,-0.416577987
Gbp5,-5.916858158,-4.167093268,-4.331765821
Dnm3,0,0,-0.645691489
Plekha1,0.295630264,0,-0.260783281
Mrps28,-0.602608091,-1.037130224,-0.654257303
Bach2,-1.03831423,-0.840790627,-0.411398312
Accs,2.694971027,2.96915645,3.164977646
Cdk6,0,-0.641706844,-1.305096445
Pacsin1,0,0.716000631,0
Ndufa4l2,0,1.944903276,5.555553236
BC052040,1.269942045,1.768734193,1.440088898
Btnl9,4.06379741,5.615457048,0
Gzmg,0,0,0
Stac3,-1.606451972,-1.628541136,-3.075324092
Hey1,1.239964083,0.980069677,3.177909262
Ddx58,0,0,-1.883723253
AI848100,-0.235795743,-0.476443511,-0.523752287
Btbd16,0,0,0
C030048B08Rik,-0.492772323,-0.498599771,-0.571001061
Alx4,1.081223541,0,0
Cchcr1,0.9657857,1.282516821,0
Ctsg,0,0,0
Zfp770,0,0,0
Slc25a24,-1.360110608,-1.737935057,-1.315211096
Gm15429,0,0,0
Vprbp,0,0,-0.622355262
Cul9,1.313854073,1.489241834,1.080449184
Olfr56,0,0,0
Il7,-2.507012135,0,2.637952579
Nsmce4a,0.921907288,0.656502878,0.593149335
Fam102b,-1.119052719,-1.207927766,-1.214878774
1700019B03Rik,0,0,0
Arhgap9,0,0,0
Trim7,-5.669583961,-4.623565544,-4.661802169
Ankib1,-0.809309916,-0.859570838,-1.033546667
Mars,0,0,0
Skiv2l,0.791635327,0.971428339,0.856572562
1810074P20Rik,1.186042645,0.825880333,0.607710069
Bcor,-0.377169499,0,0
Sec1,4.167145507,5.5994485,4.555668492
Trim41,0,0,0
4932412H11Rik,0,0,0
Lyrm5,0,0,0.500083564
Gpr63,0.955159363,0,0
Cacng5,0,0,3.6927749
Pxmp3,1.038859221,0.692891999,0.825025152
Cbln3,0,1.314035716,1.359673666
Aqr,0,-0.246490679,-0.673363405
Ppp1ca,-0.521588665,-0.541586882,-0.456315413
Klhl32,2.115701263,2.711402062,0
Wdr47,-0.420962145,-0.386850243,-0.353222016
Map3k10,-0.728130775,-0.705482026,-0.779665815
Abhd13,-0.497367508,-0.798255783,-0.539277346
C630050I24Rik,0,0,0
Havcr1,0,0,0
Akap9,0.551522433,0,-0.616359707
Fbxl4,0,0,0
5330417C22Rik,0,2.18800525,2.180099987
Timd2,0,0,0
Slc25a28,1.034036957,0.92060936,0.815888336
Dtx3,0,0.334481675,0.287791282
Cdh18,0,0,0
Rc3h1,-0.365512874,-0.675966316,-0.716370631
Hipk4,1.992078785,1.508690265,0.892886714
Plekha4,-0.863682286,-0.850771782,-2.411867412
Mterf,0.76725427,0,0
Pitpnc1,0,0.38344262,0.292622613
Ltb4r2,-4.909689459,-6.157096636,-4.985081277
Zbtb38,-1.032370005,-1.319951838,0
