gene.name,BA1,BA2,PBA,BIO,BIOw1,BIOw2,MUT1,MUT2,MUT3
Oprm1,0,0,0,0,0,0,0,0,0
Polr3d,0,0,0,0,0,0,0,0,0
Tcf7,1,1,1,1,1,1,0,0,0
Ddx3x,0,0,0,0,0,0,0,0,0
Il12rb1,0,0,0,0,0,0,0,0,0
Slc5a5,0,0,0,1,0,1,0,0,0
Kcnn3,0,0,1,0,0,0,0,0,0
Usp32,0,0,0,0,0,0,0,0,0
Car4,0,0,1,0,0,0,1,1,0
Txnrd3,0,0,0,0,0,0,0,0,0
Fasl,0,0,0,0,0,0,0,0,0
Znf512b,0,0,0,0,0,0,0,0,0
Dnajc5,0,0,0,0,0,0,0,0,0
Tpd52l2,0,0,0,0,0,0,0,0,0
Fmr1,0,0,0,0,0,0,0,0,0
Bcl11a,0,1,0,1,1,1,0,0,0
Il4,0,0,0,0,0,0,0,0,0
Pxmp4,0,0,0,0,0,0,0,0,0
Dlg3,1,1,0,0,0,0,0,0,0
Gnb1l,0,0,0,0,0,0,1,0,0
Dbh,0,0,0,0,0,0,1,0,0
Mmp11,0,1,0,0,0,1,0,0,0
Smarcb1,0,0,0,0,0,0,0,0,0
Vpreb3,0,0,0,0,0,0,0,0,0
Hip1r,0,0,1,0,0,0,0,0,0
Nsun5,0,0,0,0,0,0,0,0,0
Top1mt,0,0,0,0,0,0,0,0,0
Hoxa10,0,0,0,0,0,0,0,0,0
Hoxa4,0,0,0,0,0,0,0,0,0
Snrpn,1,0,0,0,0,0,0,0,0
Mmp14,0,0,0,0,0,0,0,0,0
Slc7a7,0,0,0,0,0,0,0,0,0
Oxa1l,0,0,0,0,0,0,0,0,0
Heatr6,0,0,0,0,0,0,0,0,0
Ccl3,0,0,0,0,0,0,0,0,0
Expi,0,0,0,0,0,0,0,0,0
Icam4,0,0,1,0,0,0,0,0,0
Ilf2,0,0,0,0,0,0,0,0,0
2500003M10Rik,0,0,0,0,0,0,0,0,0
Snapin,0,0,0,0,0,0,0,0,0
S100a4,0,0,0,0,0,0,0,0,0
S100a3,0,0,0,0,0,0,0,0,0
S100a5,0,0,0,0,0,0,0,0,0
S100a6,0,0,0,0,0,0,1,0,0
Scn4a,0,0,0,0,0,0,0,0,0
Icam2,1,1,1,0,0,0,1,0,0
Mapk7,0,0,0,0,0,0,0,0,0
Epn2,0,0,0,0,0,0,0,0,0
B9d1,0,0,1,0,0,0,1,0,0
Sec24b,0,0,0,0,0,0,0,0,0
N4bp3,0,0,0,0,0,0,0,0,0
Rmnd5b,0,0,0,0,0,0,0,0,0
